,Content ID,Category,Content Type,Reaction Type,Score,Datetime
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,disgust,0,2020-11-07 09:43:50
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,disgust,0,2021-01-06 19:13:01
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,disgust,0,2021-04-09 02:46:20
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,dislike,10,2021-06-17 12:22:51
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,dislike,10,2020-11-09 02:49:59
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,dislike,10,2020-11-29 21:33:04
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,scared,15,2021-04-18 05:13:58
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,scared,15,2020-11-02 06:28:53
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,scared,15,2020-09-03 18:51:38
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,scared,15,2021-04-20 23:48:12
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,scared,15,2020-09-29 16:00:27
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,interested,30,2020-08-23 12:25:58
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,interested,30,2020-11-01 01:16:21
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,interested,30,2021-05-22 19:44:23
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,interested,30,2021-03-07 12:40:11
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,interested,30,2021-02-04 03:06:12
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,interested,30,2020-07-14 05:28:44
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,peeking,35,2020-12-07 06:27:54
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,peeking,35,2021-04-01 22:54:23
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,peeking,35,2020-09-23 06:24:11
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,peeking,35,2020-11-20 17:26:23
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,cherish,70,2021-04-11 17:35:49
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,cherish,70,2020-08-04 23:58:42
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,hate,5,2021-01-27 08:32:09
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,hate,5,2020-10-07 18:39:08
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,hate,5,2020-06-27 18:44:39
